"name","sale","brand","base_price","weight","type","category","gender","ground_type","stability","drop","use","rating","1_star","2_star","3_star","4_star","5_star","review_count","is_recommended","news","sole_details","upper","material","use_details","care_instructions","description","base_model"
"V-Alpha Homme","0","Vibram fivefingers","140.0","136","Chaussures minimalistes","['Trail', 'Running']","Homme","Sentier","Neutre","0","Intensif","4.3","22","24","33","65","285","429","88","False","Semelle extérieure en caoutchouc de 3,7 mm
Semelle intérieure en Mousse de 2 mm pour un confort accru","Empeigne en laine et matière synthétique pour une meilleure respirabilité et une réduction des odeurs","","","Lavage en machine à froid / Séchage à l’air libre","La V-Alpha est un incontournable de l'entraînement en extérieur minimaliste, et est 100 % fidèle à notre philosophie d'origine : une protection du pied qui permet la perception sensorielle du sol, la performance et la dextérité. La semelle extérieure en caoutchouc flexible présente notre composé le plus polyvalent : Vibram Megagrip.
Ce composé assure à la fois l'adhérence et la durabilité dans le temps, sur un sol sec comme mouillé.","v_alpha"
"V-Alpha Femme","0","Vibram fivefingers","140.0","103","Chaussures minimalistes","['Trail', 'Running']","Femme","Sentier","Neutre","0","Intensif","4.4","13","12","29","36","190","280","85","False","Semelle extérieure en caoutchouc de 3,7 mm
Semelle intérieure en Mousse de 2 mm pour un confort accru","Empeigne en laine et matière synthétique pour une meilleure respirabilité et une réduction des odeurs","","","Lavage en machine à froid / Séchage à l’air libre","La V-Alpha est un incontournable de l'entraînement en extérieur minimaliste, et est 100 % fidèle à notre philosophie d'origine : une protection du pied qui permet la perception sensorielle du sol, la performance et la dextérité. La semelle extérieure en caoutchouc flexible présente notre composé le plus polyvalent : Vibram Megagrip.
Ce composé assure à la fois l'adhérence et la durabilité dans le temps, sur un sol sec comme mouillé.","v_alpha"
"V-Soul Femme","0","Vibram fivefingers","110.0","91","Chaussures minimalistes","['Fitness', 'Yoga']","Femme","Salle","Minimaliste","0","Occasionel","4.4","23","14","27","66","261","391","89","True","Semelle intérieure : Mousse en Polyuréthane de 2 mm + Doublure en Laine de Polyester
Caoutchouc : composé XS Trek de 3 mm","Polyester Brillant avec Réglage par Fermeture Auto-agrippante","","","Lavage en machine à froid / Séchage à l’air libre","La V-Soul est notre dernière offre axée sur le fitness féminin et alternatif en intérieur.
Élégante et fine, elle peut être utilisée pour de nombreuse activités.
La V-Soul s'inscrit dans notre « philosophie de produit à sensation maximale », offrant un potentiel maximal d'articulation et de sensation au sol.
Dotée d'une coupe ajustable et sécurisée, elle est également très ouverte, légère et flexible.
Les meilleures use_detailss de cette chaussure sont le fitness fonctionnel, la plyométrie, le Pilates et le yoga, entre autres.","v_soul"
"Furoshiki Homme","0","Vibram fivefingers","100.0","106","Chaussures minimalistes","Casual","Homme","Route","Minimaliste","0","Régulier","4.5","4","6","13","19","108","150","88","False","Semelle Vibram à faible densité pour une réduction du poids.","Ajustement adaptable grâce à la forme anatomique et l’adhérence Vibram, offrant une empeigne extensible qui épouse parfaitement le pied.","Composition : 28 % Élasthane (Caoutchouc Extensible / Lycra), 72 % PA (Polyamide et Nylon)","","Lavage en machine à froid / Séchage à l’air libre","Notre dernière et plus grande innovation en matière de chaussures alternatives encore améliorée !
Nous avons amélioré l'ajustement et la fonctionnalité, en adaptant le design de la semelle, la forme et l'ajustement de l’empeigne, ainsi que la partie orteils.
Emportez-la partout… pour tout ce que vous faites et partout où vous allez, il y a Furoshiki !
Le concept de ce type de chaussures est inspiré par la technique japonaise traditionnelle qui consiste à envelopper divers objets du quotidien dans un tissu pour les transporter.
Furoshiki est la seule semelle du marché qui enveloppe l'ensemble du pied. Comme l’empeigne est fabriquée en tissu extensible, elle s'adaptera parfaitement à l'anatomie de chaque type de pied et le système de fermeture auto-agrippante permet un ajustement rapide et facile.
Grâce à notre technologie révolutionnaire de semelles Vibram, Furoshiki offre le meilleur des conforts dans n'importe quel environnement !
Elle est également très facile à transporter et chaque paire est livrée avec son propre étui de voyage. L'ultime compagnon des chaussures de voyage, offrant protection, adhérence et confort.","furoshiki"
"Furoshiki Femme","0","Vibram fivefingers","100.0","106","Chaussures minimalistes","Casual","Femme","Route","Minimaliste","0","Régulier","4.4","13","6","8","22","144","193","88","False","Semelle Vibram à faible densité pour une réduction du poids.","Ajustement adaptable grâce à la forme anatomique et l’adhérence Vibram, offrant une empeigne extensible qui épouse parfaitement le pied.","Composition : 28 % Élasthane (Caoutchouc Extensible / Lycra), 72 % PA (Polyamide et Nylon)","","Lavage en machine à froid / Séchage à l’air libre","Notre dernière et plus grande innovation en matière de chaussures alternatives encore améliorée !
Nous avons amélioré l'ajustement et la fonctionnalité, en adaptant le design de la semelle, la forme et l'ajustement de l’empeigne, ainsi que la partie orteils.
Emportez-la partout… pour tout ce que vous faites et partout où vous allez, il y a Furoshiki !
Le concept de ce type de chaussures est inspiré par la technique japonaise traditionnelle qui consiste à envelopper divers objets du quotidien dans un tissu pour les transporter.
Furoshiki est la seule semelle du marché qui enveloppe l'ensemble du pied. Comme l’empeigne est fabriquée en tissu extensible, elle s'adaptera parfaitement à l'anatomie de chaque type de pied et le système de fermeture auto-agrippante permet un ajustement rapide et facile.
Grâce à notre technologie révolutionnaire de semelles Vibram, Furoshiki offre le meilleur des conforts dans n'importe quel environnement !
Elle est également très facile à transporter et chaque paire est livrée avec son propre étui de voyage. L'ultime compagnon des chaussures de voyage, offrant protection, adhérence et confort."
"One Quarter Toile","0","Vibram fivefingers","99.0","88","chaussures minimalistes","Casual","Unisexe","Route","Minimaliste","0","3.5","0","0","1","1","0","2","50","False","Semelle Vibram à faible densité pour une réduction du poids.","Ajustement adaptable grâce à la forme anatomique et l’adhérence Vibram, offrant une empeigne extensible qui épouse parfaitement le pied.","Composition : 28 % Élasthane (Caoutchouc Extensible / Lycra), 72 % PA (Polyamide et Nylon)","","Lavage en machine à froid / Séchage à l’air libre","Notre dernière et plus grande innovation en matière de chaussures alternatives encore améliorée !
Elle est également très facile à transporter et chaque paire est livrée avec son propre étui de voyage. L'ultime compagnon des chaussures de voyage, offrant protection, adhérence et confort.","furoshiki"
"One Quarter Toile","0","Vibram fivefingers","99.0","88","Chaussures minimalistes","Casual","Unisexe","Route","Minimaliste","0","Intensif","3.5","0","0","1","1","0","2","50","False","Semelle Vibram à faible densité pour une réduction du poids.","Ajustement adaptable grâce à la forme anatomique et l’adhérence Vibram, offrant une empeigne extensible qui épouse parfaitement le pied.","Composition : 28 % Élasthane (Caoutchouc Extensible / Lycra), 72 % PA (Polyamide et Nylon)","","Lavage en machine à froid / Séchage à l’air libre","Notre dernière et plus grande innovation en matière de chaussures alternatives encore améliorée !
Nous avons amélioré l'ajustement et la fonctionnalité, en adaptant le design de la semelle, la forme et l'ajustement de l’empeigne, ainsi que la partie orteils.
Emportez-la partout… pour tout ce que vous faites et partout où vous allez, il y a Furoshiki !
Le concept de ce type de chaussures est inspiré par la technique japonaise traditionnelle qui consiste à envelopper divers objets du quotidien dans un tissu pour les transporter.
Furoshiki est la seule semelle du marché qui enveloppe l'ensemble du pied. Comme l’empeigne est fabriquée en tissu extensible, elle s'adaptera parfaitement à l'anatomie de chaque type de pied et le système de fermeture auto-agrippante permet un ajustement rapide et facile.
Grâce à notre technologie révolutionnaire de semelles Vibram, Furoshiki offre le meilleur des conforts dans n'importe quel environnement !
Elle est également très facile à transporter et chaque paire est livrée avec son propre étui de voyage. L'ultime compagnon des chaussures de voyage, offrant protection, adhérence et confort.","one_quarter_toile"
"One Quarter Leather Homme","0","Vibram fivefingers","105.0","88","Chaussures minimalistes","Casual","Homme","Route","Minimaliste","0","Intensif","4.4","12","4","11","25","121","173","89","False","Semelle dotée de la Technologie Vibram LITEBASE avec le composé Gumlite.
Découvrez la Technologie Vibram LITEBASE, qui réduit considérablement l'épaisseur et le poids des semelles extérieures en caoutchouc, tout en conservant l'adhérence et la traction attendues de Vibram. Cette nouvelle technologie réduit radicalement l'épaisseur de la semelle jusqu'à 50 % par rapport à une conception de semelle identique et permet de réduire le poids total jusqu'à 30 %.","Ajustement adaptable grâce à la forme anatomique et l’adhérence Vibram, offrant une empeigne extensible qui épouse parfaitement le pied.","Semelle : Caoutchouc Gumlite Vibram et Technologie Vibram LITEBASE
Empeigne : Cuir","","Lavage en machine à froid / Séchage à l’air libre","Relevant le défi de maintenir la performance pour ¼ du volume habituel, Vibram présente la nouvelle Vibram ¼ (Vibram One Quarter).
Avec son design spécial en origami tridimensionnel et la technologie unique de sa semelle (Vibram LiteBase), Vibram ¼ est une chaussure légère, confortable et compacte, facile à transporter et parfaite pour les voyages.
Un modèle au look moderne qui sera le compagnon idéal de votre temps libre, de vos aventures en ville et, pourquoi pas, un cadeau unique !","one_quarter_leather"
"One Quarter Jeans Homme","0","Vibram fivefingers","85.0","110","Chaussures minimalistes","Casual","Homme","Route","Minimaliste","0","Régulier","4.4","12","4","11","25","121","173","89","False","Semelle dotée de la Technologie Vibram LITEBASE avec le composé Gumlite.
Découvrez la Technologie Vibram LITEBASE, qui réduit considérablement l'épaisseur et le poids des semelles extérieures en caoutchouc, tout en conservant l'adhérence et la traction attendues de Vibram. Cette nouvelle technologie réduit radicalement l'épaisseur de la semelle jusqu'à 50 % par rapport à une conception de semelle identique et permet de réduire le poids total jusqu'à 30 %.","Ajustement adaptable grâce à la forme anatomique et l’adhérence Vibram, offrant une empeigne extensible qui épouse parfaitement le pied.","Semelle : Caoutchouc Gumlite Vibram et Technologie Vibram LITEBASE
Empeigne : Jean","","Lavage en machine à froid / Séchage à l’air libre","Relevant le défi de maintenir la performance pour ¼ du volume habituel, Vibram présente la nouvelle Vibram ¼ (Vibram One Quarter).
Avec son design spécial en origami tridimensionnel et la technologie unique de sa semelle (Vibram LiteBase), Vibram ¼ est une chaussure légère, confortable et compacte, facile à transporter et parfaite pour les voyages.
Un modèle au look moderne qui sera le compagnon idéal de votre temps libre, de vos aventures en ville et, pourquoi pas, un cadeau unique !","one_quarter_jeans"
"V-Run Homme","0","Vibram fivefingers","160.0","136","Chaussures minimalistes","Running","Homme","['Route', 'Sentier']","Neutre","0","Régulier","4.2","19","17","21","26","169","252","85","False","Semelle intérieure : 2mm EVA + Doublure Drilex antimicrobien
Semelle intermédiaire : 4mm EVA
Caoutchouc : 2.5mm.","Filet en Polyester Lycra Stretch + Microfibre en Polyester","","","Lavage en machine à froid / Séchage à l’air libre","Ce modèle très confortable est doté d'une empeigne souple et ajourée pour maximiser la respirabilité.
C'est une chaussure de course idéale pour faire la transition entre les chaussures traditionnelles et une approche plus minimaliste.
La construction de la semelle fine vous permet de sentir la Terre sous vos pieds.","v_run"
"V-Run Femme","0","Vibram fivefingers","160.0","136","Chaussures minimalistes","Running","Femme","['Route', 'Sentier']","Neutre","0","Régulier","4.1","17","15","20","20","119","191","82","False","Semelle intérieure : 2mm EVA + Doublure Drilex antimicrobien
Semelle intermédiaire : 4mm EVA
Caoutchouc : 2.5mm.","Filet en Polyester Lycra Stretch + Microfibre en Polyester","","","Lavage en machine à froid / Séchage à l’air libre","Ce modèle très confortable est doté d'une empeigne souple et ajourée pour maximiser la respirabilité.
C'est une chaussure de course idéale pour faire la transition entre les chaussures traditionnelles et une approche plus minimaliste.
La construction de la semelle fine vous permet de sentir la Terre sous vos pieds.","v_run"
"KMD EVO Homme","0","Vibram fivefingers","190.0","210","Chaussures minimalistes","Running","Homme","['Route', 'Sentier']","Modérée","0","Occasionel","4.4","2","4","0","8","32","43","85","False","Semelle intérieure : 2 mm EVA+Anti Microbial Drilex Sockliner\\n Semelle intermédiaire : 6 mm EVA","100% Filament de polyester à faible élasticité","","","Lavage en machine à froid / Séchage à l'air libre","La KMD EVO est très appréciée des fans pour une bonne raison. Chaussure d'entraînement polyvalente pour l'intérieur et l'extérieur, elle est dotée d'une semelle intérieure Vibram Metaflex SL de 6 mm, d'une semelle extérieure Ecostep Recycle et d'une tige tricotée souple avec un système de laçage rapide.\\nLégère, souple et confortable, la KMD EVO convient parfaitement aux activités d'entraînement traditionnelles en intérieur et en extérieur, telles que les cours de fitness, l'haltérophilie, le cardio et d'autres exercices en salle de sport.\\nRemarque : Ce modèle Vibram FiveFingers utilise un composé de caoutchouc appelé Vibram EcoStep Recycle pour sa semelle. En raison de l'use_details de matériaux recyclés, le caoutchouc présente des taches blanches. Il ne s'agit pas d'une peinture, d'un défaut ou d'une salissure, mais simplement du résultat du caoutchouc utilisé.","kmd_evo"
"KMD EVO Femme","0","Vibram fivefingers","190.0","160","Chaussures minimalistes","Running","Femme","['Route', 'Sentier']","Modérée","0","Occasionel","4.4","2","1","1","1","20","25","83","False","Semelle intérieure : 2 mm EVA+Anti Microbial Drilex Sockliner\\n Semelle intermédiaire : 6 mm EVA","100% Filament de polyester à faible élasticité","","","Lavage en machine à froid / Séchage à l'air libre","La KMD EVO est très appréciée des fans pour une bonne raison. Chaussure d'entraînement polyvalente pour l'intérieur et l'extérieur, elle est dotée d'une semelle intérieure Vibram Metaflex SL de 6 mm, d'une semelle extérieure Ecostep Recycle et d'une tige tricotée souple avec un système de laçage rapide.\\nLégère, souple et confortable, la KMD EVO convient parfaitement aux activités d'entraînement traditionnelles en intérieur et en extérieur, telles que les cours de fitness, l'haltérophilie, le cardio et d'autres exercices en salle de sport.\\nRemarque : Ce modèle Vibram FiveFingers utilise un composé de caoutchouc appelé Vibram EcoStep Recycle pour sa semelle. En raison de l'use_details de matériaux recyclés, le caoutchouc présente des taches blanches. Il ne s'agit pas d'une peinture, d'un défaut ou d'une salissure, mais simplement du résultat du caoutchouc utilisé.","kmd_evo"
"V-Trail 2.0 Homme","0","Vibram fivefingers","160.0","182","Chaussures minimalistes","Trail","Homme","Sentier","Guidée","0","Occasionel","3.7","45","28","24","49","129","275","72","False","Semelle Intérieure en EVA de 2 mm + Doublure en Polyester \\nSemelle Extérieure en Caoutchouc Megagrip de 3,7 mm","","","Idéale pour courir dans la nature, sur les sentiers ou lors de courses d'obstacles : la chaussure de choix pour se déplacer sur des surfaces imprévisibles.","Lavage en machine à froid / Séchage à l'air libre","La V-Trail 2.0 offre les nouvelles et meilleures caractéristiques pour conquérir les sentiers avec aisance, y compris les deux couches de matière autour des orteils pour éviter les fissures des coutures et une empeigne améliorée plus hydrofuge que la version précédente. La V-Trail 2.0 est dotée d'une maille 3D Cocoon tissée dans la semelle extérieure pour la protéger des objets les plus tranchants pendant l'entraînement en extérieur, comme les pierres et les racines. La maille est tridimensionnelle, elle disperse le point d'impact sur toute la partie inférieure de la chaussure. Elle offre toujours une excellente sensation au sol et dextérité. Le composé de la semelle extérieure Megagrip offre une adhérence suprême sur terrain sec comme humide.","v_trail_2_0"
"V-Trail 2.0 Femme","0","Vibram fivefingers","160.0","142","Chaussures minimalistes","Trail","Femme","Sentier","Guidée","0","Occasionel","3.4","19","18","23","19","43","122","61","False","Semelle Intérieure en EVA de 2 mm + Doublure en Polyester \\nSemelle Extérieure en Caoutchouc Megagrip de 3,7 mm","","","Idéale pour courir dans la nature, sur les sentiers ou lors de courses d'obstacles : la chaussure de choix pour se déplacer sur des surfaces imprévisibles.","Lavage en machine à froid / Séchage à l'air libre","La V-Trail 2.0 offre les nouvelles et meilleures caractéristiques pour conquérir les sentiers avec aisance, y compris les deux couches de matière autour des orteils pour éviter les fissures des coutures et une empeigne améliorée plus hydrofuge que la version précédente. La V-Trail 2.0 est dotée d'une maille 3D Cocoon tissée dans la semelle extérieure pour la protéger des objets les plus tranchants pendant l'entraînement en extérieur, comme les pierres et les racines. La maille est tridimensionnelle, elle disperse le point d'impact sur toute la partie inférieure de la chaussure. Elle offre toujours une excellente sensation au sol et dextérité. Le composé de la semelle extérieure Megagrip offre une adhérence suprême sur terrain sec comme humide.","v_trail_2_0"
"V-Train 2.0 Homme","0","Vibram fivefingers","160.0","220","Chaussures minimalistes","Fitness","Homme","Salle","Guidée","0","Régulier","4.4","26","12","16","37","249","340","88","False","Semelle intérieure: Assise Plantaire en EVA de 2mm + Doublure en Polyester\\n Semelle intermédiaire: N/A\\n Caoutchouc: Semelle extérieure en caoutchouc XS Trek de 4mm","Polyester, Panneaux Latéraux en TPU","","","Lavage en machine à froid / Séchage à l'air libre","La V-Train 2.0 est idéale pour les entraîneurs et athlètes expérimentés.\\n Bon niveau de sensation au sol et de protection avec une bonne articulation des orteils pour un bon équilibre et une stabilité optimale\\n Construction de l’empeigne spécialement conçue pour l'entraînement intensif, axée sur la durabilité et les performances\\n Cosses distinctives de traction de la corde dans la voûte\\n Nouveau système de laçage des panneaux avec fermeture auto-agrippante, sensation plus douce. Idéale pour les mouvements agressifs et latéraux\\n Composé caoutchouc XS Trek pour des performances polyvalentes en intérieur comme en extérieur","v_train_2_0"
"V-Train 2.0 Femme","0","Vibram fivefingers","160.0","175","Chaussures minimalistes","Fitness","Femme","Salle","Guidée","0","Régulier","4.3","14","10","15","33","134","206","89","False","Semelle intérieure: Assise Plantaire en EVA de 2mm + Doublure en Polyester\\n Semelle intermédiaire: N/A\\n Caoutchouc: Semelle extérieure en caoutchouc XS Trek de 4mm","Polyester, Panneaux Latéraux en TPU","","","Lavage en machine à froid / Séchage à l'air libre","La V-Train 2.0 est idéale pour les entraîneurs et athlètes expérimentés.\\n Bon niveau de sensation au sol et de protection avec une bonne articulation des orteils pour un bon équilibre et une stabilité optimale\\n Construction de l’empeigne spécialement conçue pour l'entraînement intensif, axée sur la durabilité et les performances\\n Cosses distinctives de traction de la corde dans la voûte\\n Nouveau système de laçage des panneaux avec fermeture auto-agrippante, sensation plus douce. Idéale pour les mouvements agressifs et latéraux\\n Composé caoutchouc XS Trek pour des performances polyvalentes en intérieur comme en extérieur","v_train_2_0"
"V-Trek Homme","0","Vibram fivefingers","160.0","185","Chaussures minimalistes","['Trail', 'Running']","Homme","['Route', 'Sentier']","Modérée","0","Intensif","4.3","19","18","25","51","205","318","86","False","Semelle Megagrip en caoutchouc de 4 mm pour des performances optimales sur diverses surfaces","Empeigne extérieure en laine et matière synthétique pour plus d'extensibilité et de confort","","Trekking, Marche, Escalade, Sport urbain.","Lavage en machine à froid / Séchage à l'air libre","La V-Trek est idéale pour la marche, la randonnée et le trekking, et propose un style urbain très élégant. La semelle extérieure Flexible dotée de la technologie Megagrip est idéale pour une use_details en extérieur, pour une adhérence dans des conditions sèches comme humides. Une semelle intermédiaire en polyuréthane légèrement plus épaisse offre un confort supplémentaire, et notre matériau supérieur mélangé en laine et matière synthétique aide à améliorer la respirabilité et à réduire les odeurs. La coupe mi-haute et le système de laçage traditionnel permettent également un look sportif et décontracté. Les fibres synthétiques présentes dans la construction assurent la résistance mécanique et la durabilité.","v_trek"
"V-Trek Femme","0","Vibram fivefingers","160.0","139","Chaussures minimalistes","['Trail', 'Running']","Femme","['Route', 'Sentier']","Modérée","0","Intensif","4.3","3","7","13","27","92","148","83","False","Semelle Megagrip en caoutchouc de 4 mm pour des performances optimales sur diverses surfaces","Empeigne extérieure en laine et matière synthétique pour plus d'extensibilité et de confort","","Trekking, Marche, Escalade, Sport urbain.","Lavage en machine à froid / Séchage à l'air libre","La V-Trek est idéale pour la marche, la randonnée et le trekking, et propose un style urbain très élégant. La semelle extérieure Flexible dotée de la technologie Megagrip est idéale pour une use_details en extérieur, pour une adhérence dans des conditions sèches comme humides. Une semelle intermédiaire en polyuréthane légèrement plus épaisse offre un confort supplémentaire, et notre matériau supérieur mélangé en laine et matière synthétique aide à améliorer la respirabilité et à réduire les odeurs. La coupe mi-haute et le système de laçage traditionnel permettent également un look sportif et décontracté. Les fibres synthétiques présentes dans la construction assurent la résistance mécanique et la durabilité.","v_trek"
